Well ID,Managing Agency,Type,Latitude,Longitude,Well Depth,
315953106391501,USGS,Discrete project site,31.99815631,-106.6524934,23.3,
315955106362201,USGS,Discrete project site,31.99648986,-106.6069367,600,
320128106371501,USGS,Discrete project site,32.02482247,-106.6197152,17.35,
320129106365901,USGS,Discrete project site,32.02458333,-106.6165111,34.1,
320134106381001,USGS,Discrete project site,32.02620833,-106.636175,34,
320141106390601,USGS,Discrete project site,32.02815564,-106.6522162,700,
320141106390602,USGS,Discrete project site,32.02815564,-106.6522162,1880,
320222106372101,USGS,Discrete project site,32.03955278,-106.6225056,33.4,
320230107013501,USGS,Discrete project site,32.04148647,-107.028065,437,
320251106405601,USGS,Discrete project site,32.04762222,-106.6822083,34,
320313106374601,USGS,Discrete project site,32.05366944,-106.6293722,35,
320403106390401,USGS,Discrete project site,32.06803889,-106.6540917,27.3,
320404106381901,USGS,Discrete project site,32.06801111,-106.6385806,28,
320405106373101,USGS,Discrete project site,32.06819444,-106.6268889,26,
320405106373103,USGS,Discrete project site,32.06819444,-106.6268889,48,
320405106373104,USGS,Discrete project site,32.06819444,-106.6268889,75,
320405106373105,USGS,Discrete project site,32.06819444,-106.6268889,150,
320406106375901,USGS,Discrete project site,32.06821667,-106.6330389,33.5,
320456106383001,USGS,Discrete project site,32.09715278,-106.6453194,16.3,
320457106403001,USGS,Discrete project site,32.08245278,-106.6749333,34.4,
320458106384001,USGS,Discrete project site,32.08274722,-106.64445,34,
320523106403001,USGS,Discrete project site,32.08971667,-106.6750472,34.5,
320526106470101,USGS,Discrete project site,32.09120942,-106.7844442,357,
320549106382801,USGS,Discrete project site,32.09693333,-106.6411972,34,
320612107003601,USGS,Discrete project site,32.10344722,-107.0101167,472,
320615106413302,USGS,Discrete project site,32.10426502,-106.6930523,21.2,
320616106414401,USGS,Discrete project site,32.10453889,-106.6954556,34,
320654106504201,USGS,Discrete project site,32.115,-106.845,1095,
320708106390701,USGS,Discrete project site,32.119,-106.6518889,38,
320734106420201,USGS,Discrete project site,32.12609444,-106.7006306,34,
320924106531201,USGS,Discrete project site,32.15676289,-106.8872275,680,
